"id","title","dates","company","description"
"PF370","Support Engineer","2016-2017","Pageflex - Marlboro, MA",""
"DA350","Trouble Resolution Specialist/Information Engineer","September 2012 to January 2016","Dining Alliance — Waltham, MA ","Managed IT Infrastructure as Trouble Resolution Specialist/Information Engineer for nations largest Foodservice GPO – In capacity of Trouble Resolution Specialist more traditional desktop support functions for nationwide group, software, hardware (memory and mass storage) installations and troubleshooting. Includes Email administration using both Gmail and Exchange. Design and development VOIP phone system/admin. Facilited email migrations for 3 sister companies. DNS Administration for family of companies separate domains. Virtualization (GTM, Chrome Desktop, VNC and Teamviewer). Teamdrive and Onedrive administration. Linux/Ubuntu Xforwarding integration in a Windows environment- remote administration SSH and Powershell. In capacity of Information Engineer Salesforce Design/Dev of 8000+ to date ticketing system. Design and Dev Product/Asset inventory system. DA Intranet Web site and Salesforce/Sharepoint Integration. Development of SQLite/Ditto Automated Data Entry system using Ruby/VB/MS Access.  "
"DA350S","Trouble Resolution Specialist/Information Engineer","2012-2016 ","Dining Alliance — Waltham, MA","Managed IT Infrastructure as Trouble Resolution Specialist/Information Engineer for nations largest food service GPO – Facilitated introduction of Sidekick/Hubspot (email sales/marketing superpower tracking. )  Design and development VOIP phone system/admin to emphasize market branding for each separate company. Facilitated email migrations for 3 sister companies. DNS Administration for family of companies various domains for each separate marketing brand. Virtualization (Goto Meeting and Clearslide facilitating sales presentations). In capacity of Information Engineer Salesforce Design/Development of 8000+ to date customer ticketing system. Design and Development DA Intranet Web site and Salesforce(TM)/Sharepoint(TM)  Integration."
"GHME340","Programmer/Systems/Database Administrator and Miles Application Support","June 2006 to November 2011","Gatehouse Media New England — Needham, MA","• For largest community newspaper organization in New England Database/Reporting of revenue tracking in support of Sales, Finance and Production depts.. "
"GHME320","Lead Helpdesk Customer Service Operator/Database- Administrator/ Supervisor","January 1996 to January 2007","Gatehouse Media New England — Needham, MA",""
"CUC250","Operations Center Representative","January 1999 to January 2001","Credit Union Center/Mass. Credit Union League-PT — Southborough, MA ","• Loan applications, processing and approvals over the telephone and on the internet."
"NYNEX249","Sales Incentive Support/Database Administrator ","January 1995 to January 1996","NYNEX Telephone DMC — Braintree, MA",""
"NYNEX248","Sales Supervisor/Coach ","January 1994 to January 1995","NYNEX Telephone DMC — Braintree, MA ",""
"NYNEX247","Sales Quality Control Supervisor","January 1994 to January 1994 ","NYNEX Telephone DMC — Marlborough, MA",""
"NYNEX246","Telephone Sales Representative ","January 1992 to January 1994","NYNEX Telephone DMC — Marlborough, MA",""
